Treatment,Concentration,Cleaned,Minute,Salt (g)
1 min (no salt),Water,0,1,0
2 min (no salt),Water,0,2,0
5 min (no salt),Water,0,5,0
10 min (no salt),Water,0,10,0
15 min (no salt),Water,0,15,0
20 min (no salt),Water,0,20,0
30 min (no salt),Water,0,30,0
45 min (no salt),Water,0,45,0
1 min (0.2g salt),Water,0,1,0.2
2 min (0.2g salt),Water,0,2,0.2
5 min (0.2g salt),Water,0,5,0.2
10 min (0.2g salt),Water,0,10,0.2
15 min (0.2g salt),Water,0,15,0.2
20 min (0.2g salt),Water,0,20,0.2
30 min (0.2g salt),Water,0,30,0.2
45 min (0.2g salt),Water,0,45,0.2
1 min (0.5g salt),Water,0,1,0.5
2 min (0.5g salt),Water,0,2,0.5
5 min (0.5g salt),Water,0,5,0.5
10 min (0.5g salt),Water,0,10,0.5
15 min (0.5g salt),Water,0,15,0.5
20 min (0.5g salt),Water,0,20,0.5
30 min (0.5g salt),Water,0,30,0.5
45 min (0.5g salt),Water,0,45,0.75
1 min (0.75g salt),Water,0,1,0.75
2 min (0.75g salt),Water,0,2,0.75
5 min (0.75g salt),Water,0,5,0.75
10 min (0.75g salt),Water,0,10,0.75
15 min (0.75g salt),Water,0,15,0.75
20 min (0.75g salt),Water,0,20,0.75
30 min (0.75g salt),Water,0,30,0.75
45 min (0.75g salt),Water,0,45,0.75
1 min (1g salt),Water,0,1,1
2 min (1g salt),Water,0,2,1
5 min (1g salt),Water,0,5,1
10 min (1g salt),Water,0,10,1
15 min (1g salt),Water,0,15,1
20 min (1g salt),Water,0,20,1
30 min (1g salt),Water,0,30,1
45 min (1g salt),Water,0,45,1
1 min (no salt),1/10,0,1,0
2 min (no salt),1/10,0,2,0
5 min (no salt),1/10,0,5,0
10 min (no salt),1/10,0,10,0
15 min (no salt),1/10,0,15,0
20 min (no salt),1/10,0,20,0
30 min (no salt),1/10,0,30,0
45 min (no salt),1/10,0,45,0
1 min (0.2g salt),1/10,0,1,0.2
2 min (0.2g salt),1/10,0,2,0.2
5 min (0.2g salt),1/10,0,5,0.2
10 min (0.2g salt),1/10,0,10,0.2
15 min (0.2g salt),1/10,0,15,0.2
20 min (0.2g salt),1/10,0,20,0.2
30 min (0.2g salt),1/10,0,30,0.2
45 min (0.2g salt),1/10,0,45,0.2
1 min (0.5g salt),1/10,0,1,0.5
2 min (0.5g salt),1/10,0,2,0.5
5 min (0.5g salt),1/10,0,5,0.5
10 min (0.5g salt),1/10,0,10,0.5
15 min (0.5g salt),1/10,0,15,0.5
20 min (0.5g salt),1/10,0,20,0.5
30 min (0.5g salt),1/10,0,30,0.5
45 min (0.5g salt),1/10,0,45,0.75
1 min (0.75g salt),1/10,0,1,0.75
2 min (0.75g salt),1/10,0,2,0.75
5 min (0.75g salt),1/10,0,5,0.75
10 min (0.75g salt),1/10,0,10,0.75
15 min (0.75g salt),1/10,0,15,0.75
20 min (0.75g salt),1/10,0,20,0.75
30 min (0.75g salt),1/10,0,30,0.75
45 min (0.75g salt),1/10,0,45,0.75
1 min (1g salt),1/10,0,1,1
2 min (1g salt),1/10,0,2,1
5 min (1g salt),1/10,0,5,1
10 min (1g salt),1/10,0,10,1
15 min (1g salt),1/10,0,15,1
20 min (1g salt),1/10,0,20,1
30 min (1g salt),1/10,0,30,1
45 min (1g salt),1/10,0,45,1
1 min (no salt),1/4,0,1,0
2 min (no salt),1/4,0,2,0
5 min (no salt),1/4,0,5,0
10 min (no salt),1/4,0,10,0
15 min (no salt),1/4,0,15,0
20 min (no salt),1/4,0,20,0
30 min (no salt),1/4,0,30,0
45 min (no salt),1/4,0,45,0
1 min (0.2g salt),1/4,0,1,0.2
2 min (0.2g salt),1/4,0,2,0.2
5 min (0.2g salt),1/4,0,5,0.2
10 min (0.2g salt),1/4,0,10,0.2
15 min (0.2g salt),1/4,0,15,0.2
20 min (0.2g salt),1/4,0,20,0.2
30 min (0.2g salt),1/4,0,30,0.2
45 min (0.2g salt),1/4,0,45,0.2
1 min (0.5g salt),1/4,0,1,0.5
2 min (0.5g salt),1/4,0,2,0.5
5 min (0.5g salt),1/4,0,5,0.5
10 min (0.5g salt),1/4,0,10,0.5
15 min (0.5g salt),1/4,0,15,0.5
20 min (0.5g salt),1/4,0,20,0.5
30 min (0.5g salt),1/4,0,30,0.5
45 min (0.5g salt),1/4,0,45,0.75
1 min (0.75g salt),1/4,0,1,0.75
2 min (0.75g salt),1/4,0,2,0.75
5 min (0.75g salt),1/4,0,5,0.75
10 min (0.75g salt),1/4,0,10,0.75
15 min (0.75g salt),1/4,0,15,0.75
20 min (0.75g salt),1/4,0,20,0.75
30 min (0.75g salt),1/4,0,30,0.75
45 min (0.75g salt),1/4,1,45,0.75
1 min (1g salt),1/4,0,1,1
2 min (1g salt),1/4,0,2,1
5 min (1g salt),1/4,0,5,1
10 min (1g salt),1/4,0,10,1
15 min (1g salt),1/4,0,15,1
20 min (1g salt),1/4,0,20,1
30 min (1g salt),1/4,0,30,1
45 min (1g salt),1/4,1,45,1
1 min (no salt),1/2,0,1,0
2 min (no salt),1/2,0,2,0
5 min (no salt),1/2,0,5,0
10 min (no salt),1/2,0,10,0
15 min (no salt),1/2,0,15,0
20 min (no salt),1/2,0,20,0
30 min (no salt),1/2,0,30,0
45 min (no salt),1/2,0,45,0
1 min (0.2g salt),1/2,0,1,0.2
2 min (0.2g salt),1/2,0,2,0.2
5 min (0.2g salt),1/2,0,5,0.2
10 min (0.2g salt),1/2,0,10,0.2
15 min (0.2g salt),1/2,0,15,0.2
20 min (0.2g salt),1/2,0,20,0.2
30 min (0.2g salt),1/2,0,30,0.2
45 min (0.2g salt),1/2,0,45,0.2
1 min (0.5g salt),1/2,0,1,0.5
2 min (0.5g salt),1/2,0,2,0.5
5 min (0.5g salt),1/2,0,5,0.5
10 min (0.5g salt),1/2,0,10,0.5
15 min (0.5g salt),1/2,0,15,0.5
20 min (0.5g salt),1/2,0,20,0.5
30 min (0.5g salt),1/2,0,30,0.5
45 min (0.5g salt),1/2,0,45,0.75
1 min (0.75g salt),1/2,0,1,0.75
2 min (0.75g salt),1/2,0,2,0.75
5 min (0.75g salt),1/2,0,5,0.75
10 min (0.75g salt),1/2,0,10,0.75
15 min (0.75g salt),1/2,0,15,0.75
20 min (0.75g salt),1/2,0,20,0.75
30 min (0.75g salt),1/2,0,30,0.75
45 min (0.75g salt),1/2,1,45,0.75
1 min (1g salt),1/2,0,1,1
2 min (1g salt),1/2,0,2,1
5 min (1g salt),1/2,0,5,1
10 min (1g salt),1/2,0,10,1
15 min (1g salt),1/2,0,15,1
20 min (1g salt),1/2,1,20,1
30 min (1g salt),1/2,1,30,1
45 min (1g salt),1/2,3,45,1
1 min (no salt),3/4,0,1,0
2 min (no salt),3/4,0,2,0
5 min (no salt),3/4,0,5,0
10 min (no salt),3/4,0,10,0
15 min (no salt),3/4,0,15,0
20 min (no salt),3/4,0,20,0
30 min (no salt),3/4,0,30,0
45 min (no salt),3/4,0,45,0
1 min (0.2g salt),3/4,0,1,0.2
2 min (0.2g salt),3/4,0,2,0.2
5 min (0.2g salt),3/4,0,5,0.2
10 min (0.2g salt),3/4,0,10,0.2
15 min (0.2g salt),3/4,0,15,0.2
20 min (0.2g salt),3/4,1,20,0.2
30 min (0.2g salt),3/4,0,30,0.2
45 min (0.2g salt),3/4,1,45,0.2
1 min (0.5g salt),3/4,0,1,0.5
2 min (0.5g salt),3/4,0,2,0.5
5 min (0.5g salt),3/4,0,5,0.5
10 min (0.5g salt),3/4,0,10,0.5
15 min (0.5g salt),3/4,0,15,0.5
20 min (0.5g salt),3/4,3,20,0.5
30 min (0.5g salt),3/4,2,30,0.5
45 min (0.5g salt),3/4,3,45,0.75
1 min (0.75g salt),3/4,0,1,0.75
2 min (0.75g salt),3/4,0,2,0.75
5 min (0.75g salt),3/4,0,5,0.75
10 min (0.75g salt),3/4,0,10,0.75
15 min (0.75g salt),3/4,0,15,0.75
20 min (0.75g salt),3/4,5,20,0.75
30 min (0.75g salt),3/4,5,30,0.75
45 min (0.75g salt),3/4,7,45,0.75
1 min (1g salt),3/4,0,1,1
2 min (1g salt),3/4,0,2,1
5 min (1g salt),3/4,0,5,1
10 min (1g salt),3/4,0,10,1
15 min (1g salt),3/4,0,15,1
20 min (1g salt),3/4,6,20,1
30 min (1g salt),3/4,7,30,1
45 min (1g salt),3/4,7,45,1
1 min (no salt),Only Vinegar,0,1,0
2 min (no salt),Only Vinegar,0,2,0
5 min (no salt),Only Vinegar,0,5,0
10 min (no salt),Only Vinegar,0,10,0
15 min (no salt),Only Vinegar,0,15,0
20 min (no salt),Only Vinegar,0,20,0
30 min (no salt),Only Vinegar,0,30,0
45 min (no salt),Only Vinegar,1,45,0
1 min (0.2g salt),Only Vinegar,0,1,0.2
2 min (0.2g salt),Only Vinegar,0,2,0.2
5 min (0.2g salt),Only Vinegar,0,5,0.2
10 min (0.2g salt),Only Vinegar,0,10,0.2
15 min (0.2g salt),Only Vinegar,0,15,0.2
20 min (0.2g salt),Only Vinegar,2,20,0.2
30 min (0.2g salt),Only Vinegar,3,30,0.2
45 min (0.2g salt),Only Vinegar,3,45,0.2
1 min (0.5g salt),Only Vinegar,0,1,0.5
2 min (0.5g salt),Only Vinegar,0,2,0.5
5 min (0.5g salt),Only Vinegar,0,5,0.5
10 min (0.5g salt),Only Vinegar,0,10,0.5
15 min (0.5g salt),Only Vinegar,1,15,0.5
20 min (0.5g salt),Only Vinegar,4,20,0.5
30 min (0.5g salt),Only Vinegar,6,30,0.5
45 min (0.5g salt),Only Vinegar,5,45,0.75
1 min (0.75g salt),Only Vinegar,0,1,0.75
2 min (0.75g salt),Only Vinegar,0,2,0.75
5 min (0.75g salt),Only Vinegar,0,5,0.75
10 min (0.75g salt),Only Vinegar,0,10,0.75
15 min (0.75g salt),Only Vinegar,0,15,0.75
20 min (0.75g salt),Only Vinegar,7,20,0.75
30 min (0.75g salt),Only Vinegar,8,30,0.75
45 min (0.75g salt),Only Vinegar,7,45,0.75
1 min (1g salt),Only Vinegar,0,1,1
2 min (1g salt),Only Vinegar,0,2,1
5 min (1g salt),Only Vinegar,0,5,1
10 min (1g salt),Only Vinegar,0,10,1
15 min (1g salt),Only Vinegar,1,15,1
20 min (1g salt),Only Vinegar,8,20,1
30 min (1g salt),Only Vinegar,8,30,1
45 min (1g salt),Only Vinegar,9,45,1
